Name,City,State,acceptance_rate,Enrollment,Type,Lat,Long
Alabama A&M University,Huntsville,AL,52.56,3930,Public,34.7846326,-86.572031
Alabama State University,Montgomery,AL,53.26,4383,Public,32.3636619,-86.2940544
Albany State University,Albany,GA,47.29,2780,Public,31.5690317,-84.1404238
Alcorn State University,Fayette,MS,78.44,2570,Public,31.8742035,-91.1372924
Allen University,Columbia,SC,100.00,642,Private,34.010694,-81.020246
American Baptist College,Nashville,TN,100.00,110,Private,36.202408,-86.7898667
Arkansas Baptist College,Little Rock,AR,100.00,796,Private,34.7350599,-92.2895423
Benedict College,Columbia,SC,100.00,2405,Private,34.012867,-81.020461
Bennett College for Women,Greensboro,NC,91.79,545,Private,36.067872,-79.779216
Bethune-Cookman University,Daytona Beach,FL,63.71,3695,Private,29.2110102,-81.031575
Bishop State Community College,Mobile,AL,100.00,1878,Public,30.696199,-88.055684
Bluefield State College,Bluefield,WV,38.34,1251,Public,37.2672311,-81.2374456
Bowie State University,Bowie,MD,55.06,3675,Public,39.0192914,-76.7594039
Central State University,Wilberforce,OH,37.72,1576,Public,39.7167824,-83.8764702
Cheyney University of Pennsylvania,Thornbury Township,PA,100.00,936,Public,39.933506,-75.5254286
Claflin University,Orangeburg,SC,43.77,1751,Private,33.4988288,-80.8532251
Clark Atlanta University,Atlanta,GA,84.67,2441,Private,33.7515658,-84.4112315
Clinton Junior College,Rock Hill,SC,100.00,186,Private,34.9134144,-81.0429245
Coahoma Community College,Clarksdale,MS,100.00,1792,Public,34.2533098,-90.5689712
Concordia College - Alabama,Selma,AL,53.28,512,Private,33.140592,-87.104708
Coppin State University,Baltimore,MD,43.12,2046,Public,39.3126142,-76.6579056
Delaware State University,Dover,DE,43.74,3479,Public,39.186272,-75.542267
Denmark Technical College,Denmark,SC,100.00,1422,Public,33.3118718,-81.1257498
Dillard University,New Orleans,LA,40.59,1138,Private,29.9966395,-90.0662662
Edward Waters College,Jacksonville,FL,52.95,891,Private,30.3436839,-81.6836991
Elizabeth City State University,Elizabeth City,NC,49.00,1633,Public,36.281065,-76.2139598
Fayetteville State University,Fayetteville,NC,50.32,3935,Public,35.0742206,-78.8924896
Fisk University,Nashville,TN,83.45,705,Private,36.167211,-86.803796
Florida A&M University,Tallahassee,FL,48.95,7230,Public,30.4238939,-84.2874453
Florida Memorial University,Miami Gardens,FL,20.54,1413,Private,25.9190077,-80.2712878
Fort Valley State University,Fort Valley,GA,24.19,1947,Public,32.5345289,-83.8963575
Gadsden State Community College,Gadsden,AL,100.00,2751,Public,33.993977,-85.990784
Grambling State University,Grambling,LA,43.95,3264,Public,32.5212912,-92.7192957
H Councill Trenholm State Technical College,Montgomery,AL,100.00,681,Public,32.350211,-86.342416
Hampton University,Hampton,VA,29.06,3276,Private,37.0228392,-76.3343603
Harris-Stowe State University,St. Louis,MO,100.00,969,Public,38.6332575,-90.2241738
Howard University,Washington,DC,48.41,6513,Private,38.922684,-77.019599
Huston-Tillotson University,Austin,TX,59.70,927,Private,30.2645512,-97.7223212
